ID,Entry,Action,Recommend,Rationals,Annotation,Notes,AfD Archive Link
Q88011322,Cary_S._Cox,vote,Delete,Delete His patents haven't been substantially been covered in any substance in intellectually independent secondary sources,Value,Substantial represents a personal opinion,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,A summary in Scientific American back when they were weekly and focused on publishing the happenings at the patent office does not represent the same thing as discussion in length about his patent,Value,Personal opinion on the importance of the source,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,Having the patents granted by the patent office is a matter of drafting things in the way they're supposed to be written and following the procedures,Other,Fact unrelated to the article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,There's no indication that he was notable whatsoever as an inventor; and there's no substantial notability worthy of a worldwide encyclopedia,Value,Defines notability based on their opinion,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,vote,Delete,"He was born, was a merchant, applied for and received patents, then died",Other,Experiences that have nothing to do with the article nor argue in any way,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,I agree with Greywalls that the sources improve WP:V but not notability,Value + Policy,Defines notability based on their opinion + Cites WP:V,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,Delete per nom and per WP:NOTFORPROMOTION,Other's Argument + Policy,Agrees with someone else + cites WP:NOTFORPROMOTION,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,Dream Focus is mistaken; a mention in the old weekly version of Scientific American was nothing special way back then,Value,Personal opinion on notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,It seems from what I've read that the article creator's only goal on Wikipedia may be to promote his ancestors and his self-published book; but that's not what Wikipedia is for,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,Untrue,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,"I am the author and although COI, I published the article from WP:RS to highlight his patents and accomplishments",Policy,Cites a Wikipedia policy WP:RS,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,Nothing more,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,comment,none,Scientific America and others writings about his makes him notable,Fact + Value,Fact verify if Scientific America has writing + Value Personal opinion on notability,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Nah,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"They were mostly writing about his patents, not himself, so I don't see how it meets the WP:GNG",Policy,Cites a wikipedia policy to the subject  WP:GNG,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Per WP:ANYBIO, for an inventor to be considered notable, it (the inventions) has to have have some historical significance, and I just don't see that",Policy,Cites a wikipedia policy to the subject  WP:ANYBIO,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"Scientific America back in the day was focused on reporting what patents were filed, so it doesn't really give any notability (it's WP:ROUTINE)",Policy,Cites a wikipedia policy to the subject  WP:ROUTINE,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"The Indiana thing is just one article (It's paywalled, so I can't tell how in depth it is",Fact,Fact verify if the source is paywalled,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,Seems to be more about his company than himself,Value,Personal opinion about what the article emphasizes ,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"The article is decent, but it belongs somewhere other than wikipedia under current notability policy (for example, one of them Wikipedia forks)",Editorial process (article),Suggestion where the article would be best placed,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,reply,none,"In all fairness, I don't think WP:NOTFORPROMOTION applies because it is written in a neutral tone and well sourced",Policy,Cites a wikipedia policy to the subject WP:NOTFORPROMOTION,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,Outcome,delete,The result was delete,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,Outcome,delete,I see this was listed for rescue by a COI editor and a bunch of rescue regulars voted to keep with assertive arguments,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,Outcome,delete,I'm not going to give those votes much weight,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
Q88011322,Cary_S._Cox,Outcome,delete,The delete side has given a detailed source analysis showing they fall short and has reviewed their votes after improvement,_,_,Wikipedia:Articles for deletion/Cary_S._Cox
